date,Id,content,username,Like_Count,retweet_count,reply_count,followers_Count,month,day,weekday,year
2023-02-03 23:07:41+00:00,1.62165E+18,#greenwoodOUT,Randy6127,0,0,0,0,2,3,4,2023
2023-02-03 22:59:33+00:00,1.62164E+18,"Omah Lay - Woman

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,0,0,0,2,3,4,2023
2023-02-03 22:59:05+00:00,1.62164E+18,"Creéis que Greenwood es inocente?
pd: Salió absuelto de los cargos.
#Greenwood #greenwoodOUT #ViolenciaMachista #ViolenciaDeGenero",Draskari_,1,0,0,1,2,3,4,2023
2023-02-03 22:57:19+00:00,1.62164E+18,"The fact is in ONE week, Mason Greenwood gets away with attempted rape and battery. And Nicola Bulley disappears off the face of the earth and it's deemed ""not suspicious"" by the police kinda says it all.......#NicolaBulley #greenwoodOUT",russkyd11,6,0,1,0,2,3,4,2023
2023-02-03 22:53:44+00:00,1.62164E+18,"Lojay Ft. Sarz, Chris Brown - Monalisa (Remix)

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,0,0,0,2,3,4,2023
2023-02-03 22:52:49+00:00,1.62164E+18,"Mark the celebrities not contributing to the success of a good candidate in this election. You were out during #EndSARS protest but can't speak boldly on the answer to that call, what kinda celebrity are you??? #BBTitans #greenwoodOUT #fridaymorning #PeterObiForPresident2023",De_PrincePaul,0,0,0,0,2,3,4,2023
2023-02-03 22:39:25+00:00,1.62164E+18,@kelvin_ramah I’m a Man Utd fan and I am pushing for #greenwoodOUT,KittykatM,0,0,0,0,2,3,4,2023
2023-02-03 22:39:18+00:00,1.62164E+18,SHOP WITH US USING LINK IN BIO TO BUY FOR YOUR LOVERRR😁❤️ #greenwoodOUT #ValentinesDay #valentines #love #rosebear #Thalapathy67TitleReveal #KhosiTwala #fridaymorning #roses https://t.co/gPe6mAecjv,gadgetsmko,0,0,0,0,2,3,4,2023
2023-02-03 22:37:53+00:00,1.62164E+18,@DonempireMUFC I don’t give a damn about people commenting or whether my page is dead or not. I’m not shallow. I am writing my opinion which I am entitled to and will continue to do so. #greenwoodOUT,KittykatM,0,0,0,0,2,3,4,2023
2023-02-03 22:15:35+00:00,1.62163E+18,"You cannot wish Nigeria well and vote for someone you know will bring disgrace and shame to the country - @opeoluway2k

#VoteWisely #BBTitans #BBTaitans #greenwoodOUT #fridaymorning #NigeriaDecides2023 #NigeriaDecides",opeoluway2k,2,0,2,0,2,3,4,2023
2023-02-03 22:15:29+00:00,1.62163E+18,"Mavins Ft. Ladipoe, Ayra Starr, Crayon, Magixx, Boy Spyce – Overdose - Overdose 

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,1,0,0,2,3,4,2023
2023-02-03 22:13:26+00:00,1.62163E+18,"Welcome Back Greenwood 

#greenwoodOUT https://t.co/f1bi7EBSic",MujeyiBernard,19,2,1,0,2,3,4,2023
2023-02-03 22:08:55+00:00,1.62163E+18,"I’m selling my 2x tickets for Everton Vs Arsenal for tomorrow EPL game, gutted I will be unable to attend the game, anyone interested in buying them DM me, thanks!!
#EVEARS #Arteta #Saliba #Martinelli #greenwoodOUT #MUNCRY #arsenalspares #arsenaltickets #Odegaard #Partey",Mdviber,0,0,0,0,2,3,4,2023
2023-02-03 22:06:15+00:00,1.62163E+18,"Let’s settle this once and for all.

Pick

#greenwoodOUT #Greenwood #ManUnited #arsenal #Gunners Nigerian Army Peter Obi Tinubu  Core",unkle_renzoo,0,0,0,0,2,3,4,2023
2023-02-03 22:03:20+00:00,1.62163E+18,Chelsea are 20points away from the top and their transfers can neither change issues but their fans can still make a hale of noise all night bragging. #BBTitans #BBTaitans #greenwoodOUT #PremierLeague #CheFul,De_PrincePaul,1,0,1,0,2,3,4,2023
